Country;Lat;Long;Population
Georgia;42.3154;43.3569;3989175
Germany;51.165691;10.451526;83155031
Germany;48.6616;9.3501;11103043
Germany;48.7904;11.4979;13140183
Germany;52.52;13.405;3664088
Germany;52.4125;12.5316;2531071
Germany;53.0793;8.8017;680130
Germany;53.5511;9.9937;1852478
Germany;50.6521;9.1624;6293154
Germany;53.6127;12.4296;1610774
Germany;52.6367;9.8451;8003421
Germany;51.4332;7.6616;17925570
Germany;50.1183;7.309;4098391
Germany;49.3964;7.023;983991
Germany;51.1045;13.2017;4056941
Germany;51.9503;11.6923;2180684
Germany;54.2194;9.6961;2910875
Germany;51.011;10.8453;2120237
Germany;;;
Ghana;7.9465;-1.0232;31072945
Greece;39.0742;21.8243;10423056
Grenada;12.1165;-61.679;112519
Guatemala;15.7835;-90.2308;17915567
Guinea;9.9456;-9.6966;13132792
Guinea-Bissau;11.8037;-15.1804;1967998
Guyana;4.860416;-58.93018;786559
Haiti;18.9712;-72.2852;11402533
Holy See;41.9029;12.4534;809
Honduras;15.2;-86.2419;9904608
Hungary;47.1625;19.5033;9660350
Iceland;64.9631;-19.0208;341250
India;20.593684;78.96288;1380004385
India;11.225999;92.968178;417036
India;15.9129;79.74;53903393
India;27.768456;96.384277;1570458
India;26.357149;92.830441;35607039
India;25.679658;85.60484;124799926
India;30.733839;76.768278;1158473
India;21.264705;82.035366;29436231
India;20.194742;73.080901;615724
India;28.646519;77.10898;18710922
India;15.359682;74.057396;1586250
India;22.694884;71.590923;63872399
India;29.20004;76.332824;28204692
India;31.927213;77.233081;7451955
India;33.75943;76.612638;13606320
India;23.654536;85.557631;38593948
India;14.70518;76.166436;67562686
India;10.450898;76.405749;35699443
India;34.1526;77.5771;274289
India;23.541513;78.289633;85358965
India;19.449759;76.108221;123144223
India;24.738975;93.882541;3091545
India;25.536934;91.278882;3366710
India;23.309381;92.83822;1239244
India;26.06702;94.470302;2249695
India;20.505428;84.418059;46356334
India;11.882658;78.86498;1413542
India;30.841465;75.40879;30141373
India;26.583423;73.847973;81032689
India;27.571671;88.472712;690251
India;11.006091;78.400624;77841267
India;18.1124;79.0193;39362732
India;23.746783;91.743565;4169794
India;26.925425;80.560982;237882725
India;30.156447;79.197608;11250858
India;23.814082;87.979803;99609303
India;;;
India;13.6999972;72.1833326;64429
Indonesia;-0.7893;113.9213;273523621
Iran;32.427908;53.688046;83992953
Iraq;33.223191;43.679291;40222503
Ireland;53.1424;-7.6921;4937796
Israel;31.046051;34.851612;8655541
Italy;41.87194;12.56738;60461828
Italy;42.35122196;13.39843823;1311580
Italy;40.63947052;15.80514834;562869
Italy;38.90597598;16.59440194;1947131
Italy;40.83956555;14.25084984;5801692
Italy;44.49436681;11.3417208;4459477
Italy;45.6494354;13.76813649;1215220
Italy;41.89277044;12.48366722;5879082
Italy;44.41149315;8.9326992;1550640
Italy;45.46679409;9.190347404;10060574
Italy;43.61675973;13.5188753;1525271
Italy;41.55774754;14.65916051;305617
Italy;46.49933453;11.35662422;532318
Italy;46.06893511;11.12123097;541418
Italy;45.0732745;7.680687483;4356406
Italy;41.12559576;16.86736689;4029053
Italy;39.21531192;9.110616306;1639591
Italy;38.11569725;13.3623567;4999891
Italy;43.76923077;11.25588885;3729641
Italy;43.10675841;12.38824698;882015
Italy;45.73750286;7.320149366;125666
Italy;45.43490485;12.33845213;4905854
Jamaica;18.1096;-77.2975;2961161
Japan;36.204824;138.252924;126476458
Japan;35.035551;137.211621;7552239
Japan;39.748679;140.408228;966490
Japan;40.781541;140.828896;1246371
Japan;35.510141;140.198917;6259382
Japan;33.624835;132.856842;1339215
Japan;35.846614;136.224654;767937
Japan;33.526032;130.666949;5103679
Japan;37.378867;140.223295;1845519
Japan;35.778671;137.055925;1986587
Japan;36.504479;138.985605;1942456
Japan;34.605309;132.788719;2804177
Japan;43.385711;142.552318;5250049
Japan;35.039913;134.828057;5466190
Japan;36.303588;140.319591;2860307
Japan;36.769464;136.771027;1137649
Japan;39.593287;141.361777;1226816
Japan;34.217292;133.969047;956347
Japan;31.009484;130.430665;1602273
Japan;35.415312;139.338983;9198268
Japan;33.422519;133.367307;698029
Japan;32.608154;130.745231;1747567
Japan;35.253815;135.443341;2582957
Japan;34.508018;136.376013;1780882
Japan;38.446859;140.927086;2306365
Japan;32.193204;131.299374;1073301
Japan;36.132134;138.045528;2048790
Japan;33.235712;129.608033;1326524
Japan;34.317451;135.871644;1330123
Japan;37.521819;138.918647;2223106
Japan;33.200697;131.43324;1135434
Japan;34.89246;133.826252;1889586
Japan;25.768923;126.668016;1453168
Japan;34.620965;135.507481;8809363
Japan;33.286977;130.115738;814711
Japan;35.997101;139.347635;7349693
Japan;35.215827;136.138064;1413943
Japan;35.07076;132.554064;674346
Japan;34.916975;138.407784;3643528
Japan;36.689912;139.819213;1933990
Japan;33.919178;134.242091;727977
Japan;35.711343;139.446921;13920663
Japan;35.359069;133.863619;555558
Japan;36.637464;137.269346;1043502
Japan;33.911879;135.505446;924933
Japan;38.448396;140.102154;1077666
Japan;34.20119;131.573293;1358336
Japan;35.612364;138.611489;810956
Japan;;;
Japan;;;
Jordan;31.24;36.51;10203140
Kazakhstan;48.0196;66.9237;18776707
Kenya;-0.0236;37.9062;53771300
Kiribati;-3.3704;-168.734;117606
Korea, South;35.907757;127.766922;51269183
Kosovo;42.602636;20.902977;1810366
Kuwait;29.31166;47.481766;4270563
Kyrgyzstan;41.20438;74.766098;6524191
Laos;19.85627;102.495496;7275556
Latvia;56.8796;24.6032;1886202
Lebanon;33.8547;35.8623;6825442
Lesotho;-29.61;28.2336;2142252
Liberia;6.428055;-9.429499;5057677
Libya;26.3351;17.228331;6871287
Liechtenstein;47.14;9.55;38137
Lithuania;55.1694;23.8813;2722291
Luxembourg;49.8153;6.1296;625976
Madagascar;-18.766947;46.869107;27691019
Malawi;-13.2543;34.3015;19129955
Malaysia;4.210484;101.975766;32365998
Malaysia;1.4854;103.7618;3768200
Malaysia;6.1184;100.3685;2185900
Malaysia;6.1254;102.2381;1892200
Malaysia;2.1896;102.2501;932700
Malaysia;2.7258;101.9424;1132100
Malaysia;3.8126;103.3256;1677100
Malaysia;4.5921;101.0901;2514300
Malaysia;6.4449;100.2048;254600
Malaysia;5.4141;100.3288;1777600
Malaysia;5.9788;116.0753;3904700
Malaysia;1.5533;110.3592;2818100
Malaysia;3.0738;101.5183;6541900
Malaysia;5.3117;103.1324;1250100
Malaysia;3.139;101.6869;1778400
Malaysia;5.2831;115.2308;99400
Malaysia;2.9264;101.6964;105400
Malaysia;;;
Maldives;3.2028;73.2207;540542
Mali;17.570692;-3.996166;20250834
Malta;35.9375;14.3754;441539
Marshall Islands;7.1315;171.1845;58413
Mauritania;21.0079;-10.9408;4649660
Mauritius;-20.348404;57.552152;1271767
Mexico;23.6345;-102.5528;127792286
Mexico;21.8853;-102.2916;1434635
Mexico;30.8406;-115.2838;3634868
Mexico;26.0444;-111.6661;804708
Mexico;19.8301;-90.5349;1000617
Mexico;16.7569;-93.1292;5730367
Mexico;28.633;-106.0691;3801487
Mexico;19.4326;-99.1332;9018645
Mexico;27.0587;-101.7068;3218720
Mexico;19.1223;-104.0072;785153
Mexico;24.5593;-104.6588;1868996
Mexico;21.019;-101.2574;6228175
Mexico;17.4392;-99.5451;3657048
Mexico;20.0911;-98.7624;3086414
Mexico;20.6595;-103.3494;8409693
Mexico;19.4969;-99.7233;17427790
Mexico;19.5665;-101.7068;4825401
Mexico;18.6813;-99.1013;2044058
Mexico;21.7514;-104.8455;1288571
Mexico;25.5922;-99.9962;5610153
Mexico;17.0732;-96.7266;4143593
Mexico;19.0414;-98.2063;6604451
Mexico;20.5888;-100.3899;2279637
Mexico;19.1817;-88.4791;1723259
Mexico;22.1565;-100.9855;2866142
Mexico;25.1721;-107.4795;3156674
Mexico;29.2972;-110.3309;3074745
Mexico;17.8409;-92.6189;2572287
Mexico;24.2669;-98.8363;3650602
Mexico;19.3139;-98.2404;1380011
Mexico;19.1738;-96.1342;8539862
Mexico;20.7099;-89.0943;2259098
Mexico;22.7709;-102.5832;1666426
Mexico;;;
Micronesia;7.4256;150.5508;113815
Moldova;47.4116;28.3699;4033963
Monaco;43.7333;7.4167;39244
Mongolia;46.8625;103.8467;3278292
Montenegro;42.708678;19.37439;628062
Morocco;31.7917;-7.0926;36910558
Mozambique;-18.665695;35.529562;31255435
MS Zaandam;;;
Namibia;-22.9576;18.4904;2540916
Nepal;28.1667;84.25;29136808
Netherlands;52.1326;5.2913;17134873
Netherlands;52.862485;6.618435;493682
Netherlands;52.550383;5.515162;423021
Netherlands;53.087337;5.7925;649957
Netherlands;52.061738;5.939114;2085952
Netherlands;53.217922;6.741514;585866
Netherlands;51.209227;5.93387;1117201
Netherlands;51.561174;5.184942;2562955
Netherlands;52.600906;4.918688;2879527
Netherlands;52.444558;6.441722;1162406
Netherlands;52.084251;5.163824;1354834
Netherlands;51.47936;3.861559;383488
Netherlands;51.937835;4.462114;3708696
Netherlands;;;
Netherlands;12.5211;-69.9683;106766
Netherlands;12.1696;-68.99;164100
Netherlands;18.0425;-63.0548;42882
Netherlands;12.1784;-68.2385;26221
New Zealand;-40.9006;174.886;4822233
New Zealand;-21.2367;-159.7777;17459
Nicaragua;12.865416;-85.207229;6624554
Niger;17.607789;8.081666;24206636
Nigeria;9.082;8.6753;206139587
Nigeria;5.4527;7.5248;3727347
Nigeria;9.3265;12.3984;4248436
Nigeria;4.9057;7.8537;5482177
Nigeria;6.2209;6.937;5527809
Nigeria;10.7761;9.9992;6537314
Nigeria;4.7719;6.0699;2277961
Nigeria;7.3369;8.7404;5741815
Nigeria;11.8846;13.152;5860183
Nigeria;5.8702;8.5988;3866269
Nigeria;5.704;5.9339;5663362
Nigeria;6.2649;8.0137;2880383
Nigeria;6.6342;5.9304;4235595
Nigeria;7.719;5.311;3270798
Nigeria;6.5364;7.4356;4411119
Nigeria;8.8941;7.186;3564126
Nigeria;10.3638;11.1928;3256962
Nigeria;5.572;7.0588;5408756
Nigeria;12.228;9.5616;5828163
Nigeria;10.3764;7.7095;8252366
Nigeria;11.7471;8.5247;13076892
Nigeria;12.3797;7.6306;7831319
Nigeria;11.4942;4.2333;4440050
Nigeria;7.7337;6.6906;4473490
Nigeria;8.9669;4.3874;3192893
Nigeria;6.5236;3.6006;12550598
Nigeria;8.4998;8.1997;2523395
Nigeria;9.9309;5.5983;5556247
Nigeria;6.998;3.4737;5217716
Nigeria;6.9149;5.1478;4671695
Nigeria;7.5629;4.52;4705589
Nigeria;8.1574;3.6147;7840864
Nigeria;9.2182;9.5179;4200442
Nigeria;4.8396;6.9112;7303924
Nigeria;13.0533;5.3223;4998090
Nigeria;7.9994;10.774;3066834
Nigeria;12.2939;11.439;3294137
Nigeria;12.1222;6.2236;4515427
Nigeria;;;
North Macedonia;41.6086;21.7453;2083380
Norway;60.472;8.4689;5421242
Summer Olympics 2020;35.6491;139.7737;
Oman;21.512583;55.923255;5106622
Pakistan;30.3753;69.3451;220892331
Pakistan;34.027401;73.947253;4045366
Pakistan;28.328492;65.898403;12344408
Pakistan;35.792146;74.982138;1013584
Pakistan;33.665087;73.121219;2006572
Pakistan;34.485332;72.09169;30523371
Pakistan;30.811346;72.139132;110012442
Pakistan;26.009446;68.776807;47886051
Pakistan;;;
Palau;7.5150;134.5825;18008
Panama;8.538;-80.7821;4314768
Papua New Guinea;-6.314993;143.95555;8947027
Paraguay;-23.4425;-58.4438;7132530
Peru;-9.19;-75.0152;32971846
Peru;-5.077253;-78.050172;426800
Peru;-9.407125;-77.671795;1180600
Peru;-14.027713;-72.975378;430700
Peru;-15.843524;-72.475539;1497400
Peru;-14.091648;-74.08344;668200
Peru;-6.430284;-78.745596;1453700
Peru;-11.954609;-77.136042;1129900
Peru;-13.191068;-72.153609;1357100
Peru;-13.023888;-75.00277;365300
Peru;-9.421676;-76.040642;760300
Peru;-14.235097;-75.574821;975200
Peru;-11.541783;-74.876968;1361500
Peru;-7.92139;-78.370238;2016800
Peru;-6.353049;-79.824113;1310800
Peru;-11.766533;-76.604498;10628500
Peru;-4.124847;-74.424115;1027600
Peru;-11.972699;-70.53172;173800
Peru;-16.860271;-70.839046;192700
Peru;-10.39655;-75.307635;271900
Peru;-5.133361;-80.335861;2048000
Peru;-14.995827;-69.922726;1238000
Peru;-7.039531;-76.729127;899600
Peru;-17.644161;-70.27756;371000
Peru;-3.857496;-80.545255;251500
Peru;-9.621718;-73.444929;589100
Peru;;;
Philippines;12.879721;121.774017;109581085
Poland;51.9194;19.1451;37846605
Poland;51.1340;16.8842;2901225
Poland;53.1648;18.4834;2077775
Poland;51.2494;23.1011;2117619
Poland;52.2275;15.2559;1014548
Poland;51.4635;19.1727;2466322
Poland;49.7225;20.2503;3400577
Poland;51.8927;21.0022;5403412
Poland;50.8004;17.938;986506
Poland;50.0575;22.0896;2129015
Poland;53.0697;22.9675;1181533
Poland;54.2944;18.1531;2333523
Poland;50.5717;19.322;4533565
Poland;50.6261;20.9406;1241546
Poland;53.8671;20.7028;1428983
Poland;52.28;17.3523;3493969
Poland;53.4658;15.1823;1701030
Portugal;39.3999;-8.2245;10196707
Qatar;25.3548;51.1839;2881060
Romania;45.9432;24.9668;19237682
Russia;61.52401;105.318756;145934460
Russia;44.6939006;40.1520421;453376
Russia;52.6932243;82.6931424;2350080
Russia;50.7114101;86.8572186;218063
Russia;52.8032368;128.437295;798424
Russia;63.5589686;43.1221646;1155028
Russia;47.1878186;47.608851;1017514
Russia;54.8573563;57.1439682;4063293
Russia;50.7080119;37.5837615;1549876
Russia;52.8873315;33.415853;1210982
Russia;52.7182426;109.492143;984511
Russia;43.3976147;45.6985005;1436981
Russia;54.4223954;61.1865846;3493036
Russia;66.0006475;169.4900869;49348
Russia;55.4259922;47.0849429;1231117
Russia;43.0574916;47.1332224;3063885
Russia;43.11542075;45.01713552;488043
Russia;56.6370122;104.719221;2404195
Russia;56.9167446;41.4352137;1014646
Russia;48.57527615;132.6630746;162014
Russia;43.4806048;43.5978976;865828
Russia;54.7293041;21.1489473;994599
Russia;46.2313018;45.3275745;275413
Russia;54.4382773;35.5272854;1012056
Russia;57.1914882;160.0383819;315557
Russia;43.7368326;41.7267991;466305
Russia;62.6194031;33.4920267;622484
Russia;54.5335781;87.342861;2694877
Russia;51.6312684;136.121524;1328302
Russia;53.72258845;91.44293627;537513
Russia;61.0259025;69.0982628;1532243
Russia;57.9665589;49.4074599;1283238
Russia;63.9881421;54.3326073;840873
Russia;58.424756;44.2533273;643324
Russia;45.7684014;39.0261044;5603420
Russia;63.3233807;97.0979974;2876497
Russia;55.7655302;64.5632681;845537
Russia;51.6568453;36.4852695;1115237
Russia;60.1853296;32.3925325;1813816
Russia;52.6935178;39.1122664;1150201
Russia;62.48858785;153.9903764;144091
Russia;56.5767504;47.8817512;682333
Russia;54.4419829;44.4661144;805056
Russia;55.7504461;37.6174943;12506468
Russia;55.5043158;38.0353929;7503385
Russia;68.0000418;33.9999151;753557
Russia;68.27557185;57.1686375;43997
Russia;55.4718033;44.0911594;3234752
Russia;42.7933611;44.6324493;701765
Russia;58.2843833;32.5169757;606476
Russia;54.9720169;79.4813924;2788849
Russia;56.0935263;73.5099936;1960081
Russia;52.9685433;36.0692477;747247
Russia;52.0269262;54.7276647;1977720
Russia;53.1655415;44.7879181;1331655
Russia;58.5951603;56.3159546;2623122
Russia;45.0819456;134.726645;1913037
Russia;57.5358729;28.8586826;636546
Russia;47.6222451;40.7957942;4220452
Russia;54.4226732;40.5705246;1121474
Russia;59.9606739;30.1586551;5351935
Russia;66.941626;129.642371;964330
Russia;49.7219665;143.448533;490181
Russia;53.2128813;50.8914633;3193514
Russia;51.6520555;46.8631952;2462950
Russia;55.0343496;33.0192065;949348
Russia;44.8632577;43.4406913;2800674
Russia;58.6414755;61.8021546;4325256
Russia;52.9019574;41.3578918;1033552
Russia;55.7648572;52.43104273;3894284
Russia;58.6124279;82.0475315;1078280
Russia;53.9570701;37.3690909;1491855
Russia;57.1134475;35.1744428;1283873
Russia;58.8206488;70.3658837;3692400
Russia;51.4017149;93.8582593;321722
Russia;57.1961165;52.6959832;1513044
Russia;54.1463177;47.2324921;1246618
Russia;56.0503336;40.6561633;1378337
Russia;49.6048339;44.2903582;2521276
Russia;60.0391461;43.1215213;1176689
Russia;50.9800393;40.1506507;2333768
Russia;67.1471631;74.3415488;538547
Russia;57.7781976;39.0021095;1265684
Russia;52.248521;115.956325;1072806
Russia;;;
Rwanda;-1.9403;29.8739;12952209
Saint Kitts and Nevis;17.357822;-62.782998;53192
Saint Lucia;13.9094;-60.9789;183629
Saint Vincent and the Grenadines;12.9843;-61.2872;110947
Samoa;-13.7590;-172.1046;196130
San Marino;43.9424;12.4578;33938
Sao Tome and Principe;0.1864;6.6131;219161
Saudi Arabia;23.885942;45.079162;34813867
Senegal;14.4974;-14.4524;16743930
Serbia;44.0165;21.0059;8737370
Seychelles;-4.6796;55.492;98340
Sierra Leone;8.460555;-11.779889;7976985
Singapore;1.2833;103.8333;5850343
Slovakia;48.669;19.699;5459643
Slovenia;46.1512;14.9955;2078932
Solomon Islands;-9.6457;160.1562;652858
Somalia;5.152149;46.199616;15893219
South Africa;-30.5595;22.9375;59308690
South Sudan;6.877;31.307;11193729
Spain;40.463667;-3.74922;46754783
Spain;37.5443;-4.7278;8427405
Spain;41.5976;-0.9057;1320586
Spain;43.3614;-5.8593;1022205
Spain;39.710358;2.995148;1188220
Spain;28.2916;-16.6291;2206901
Spain;43.1828;-3.9878;581641
Spain;39.2796;-3.0977;2034877
Spain;41.8357;-4.3976;2407733
Spain;41.5912;1.5209;7566431
Spain;35.8894;-5.3213;84829
Spain;39.484;-0.7533;4974969
Spain;39.4937;-6.0679;1065424
Spain;42.5751;-8.1339;2700441
Spain;40.4168;-3.7038;6641649
Spain;35.2923;-2.9381;84689
Spain;37.9922;-1.1307;1487663
Spain;42.6954;-1.6761;649946
Spain;42.9896;-2.6189;2177880
Spain;42.2871;-2.5396;313571
Spain;;;
Sri Lanka;7.873054;80.771797;21413250
Sudan;12.8628;30.2176;43849269
Suriname;3.9193;-56.0278;586634
Sweden;60.128161;18.643501;10099270
Sweden;56.2784;15.018;159606
Sweden;61.0917;14.6664;287966
Sweden;61.3012;16.1534;287382
Sweden;57.4684;18.4867;59686
Sweden;56.8967;12.8034;333848
Sweden;63.1712;14.9592;130810
Sweden;57.3708;14.3439;363599
Sweden;57.235;16.1849;245446
Sweden;56.7183;14.4115;201469
Sweden;66.8309;20.3992;250093
Sweden;59.535;15.0066;304805
Sweden;58.3454;15.5198;465495
Sweden;55.9903;13.5958;1377827
Sweden;59.0336;16.7519;297540
Sweden;59.6025;18.1384;2377081
Sweden;60.0092;17.2715;383713
Sweden;59.7294;13.2354;282414
Sweden;65.3337;16.5162;271736
Sweden;63.4276;17.7292;245347
Sweden;59.6714;16.2159;275845
Sweden;58.2528;13.0596;1725881
Sweden;;;
Switzerland;46.8182;8.2275;8654618
Syria;34.802075;38.996815;17500657
Taiwan*;23.7;121;23816775
Tajikistan;38.861;71.2761;9537642
Tanzania;-6.369028;34.888822;59734213
Thailand;15.870032;100.992541;69799978
Timor-Leste;-8.874217;125.727539;1318442
Togo;8.6195;0.8248;8278737
Tonga;-21.179;-175.1982;105697
Trinidad and Tobago;10.6918;-61.2225;1399491
Tunisia;33.886917;9.537499;11818618
Turkey;38.9637;35.2433;84339067
Uganda;1.373333;32.290275;45741000
Ukraine;48.3794;31.1656;43733759
Ukraine;49.4444;32.0598;1206351
Ukraine;51.4982;31.2893;1005745
Ukraine;48.2917;25.9352;904374
Ukraine;45.2835;34.2008;1913731
Ukraine;48.4647;35.0462;3206477
Ukraine;48.0159;37.8028;4165901
Ukraine;48.9226;24.7111;1373252
Ukraine;49.9935;36.2304;2675598
Ukraine;46.6354;32.6169;1037640
Ukraine;49.423;26.9871;1264705
Ukraine;50.4501;30.5234;2950800
Ukraine;50.053;30.7667;1767940
Ukraine;48.5079;32.2623;945549
Ukraine;48.574;39.3078;2151833
Ukraine;49.8397;24.0297;2522021
Ukraine;46.975;31.9946;2522021
Ukraine;46.4846;30.7326;2380308
Ukraine;49.5883;34.5514;1400439
Ukraine;50.6199;26.2516;1157301
Ukraine;44.6054;33.522;443211
Ukraine;50.9077;34.7981;1081418
Ukraine;49.5535;25.5948;1045879
Ukraine;49.2331;28.4682;1560394
Ukraine;50.7472;25.3254;1035330
Ukraine;48.6208;22.2879;1256802
Ukraine;47.8388;35.1396;1705836
Ukraine;50.2547;28.6587;1220193
Ukraine;;;
United Arab Emirates;23.424076;53.847818;9890400
United Kingdom;55.3781;-3.436;67886004
United Kingdom;52.3555;-1.1743;55977200
United Kingdom;54.7877;-6.4923;1881600
United Kingdom;56.4907;-4.2026;5463300
United Kingdom;52.1307;-3.7837;3138600
United Kingdom;;;
United Kingdom;32.3078;-64.7505;62273
United Kingdom;18.4207;-64.64;30237
United Kingdom;19.3133;-81.2546;65720
United Kingdom;49.3723;-2.3644;170499
United Kingdom;-51.7963;-59.5236;3483
United Kingdom;36.1408;-5.3536;33691
United Kingdom;54.2361;-4.5481;85032
United Kingdom;16.742498;-62.187366;4999
United Kingdom;21.694;-71.7979;38718
United Kingdom;18.2206;-63.0686;15002
United Kingdom;-7.9467;-14.3559;5661
Uruguay;-32.5228;-55.7658;3473727
Uzbekistan;41.377491;64.585262;33469199
